"title";"item";"level";"langue";"account_type";"page"
"Investitionsausgaben";5;1;"de";"invest";0
"Sachanlagen";50;2;"de";"invest";0
"Grundstücke";500;3;"de";"invest";0
"Strassen und Verkehrswege";501;3;"de";"invest";0
"Wasserbau";502;3;"de";"invest";0
"Übriger Tiefbau";503;3;"de";"invest";0
"Hochbauten";504;3;"de";"invest";0
"Waldungen";505;3;"de";"invest";0
"Mobilien";506;3;"de";"invest";0
"Übrige Sachanlagen";509;3;"de";"invest";0
"Investitionsausgaben auf Rechnung Dritter";51;2;"de";"invest";0
"Grundstücke";510;3;"de";"invest";0
"Strassen und Verkehrswege";511;3;"de";"invest";0
"Wasserbau";512;3;"de";"invest";0
"Übriger Tiefbau";513;3;"de";"invest";0
"Hochbauten";514;3;"de";"invest";0
"Waldungen";515;3;"de";"invest";0
"Mobilien";516;3;"de";"invest";0
"Übrige Sachanlagen";519;3;"de";"invest";0
"Immaterielle Anlagen";52;2;"de";"invest";0
"Software";520;3;"de";"invest";0
"Lizenzen, Nutzungsrechte, Markenrechte";521;3;"de";"invest";0
"Übrige immaterielle Anlagen";529;3;"de";"invest";0
"";53;2;"de";"invest";0
"Darlehen";54;2;"de";"invest";0
"Bund";540;3;"de";"invest";0
"Kantone und Konkordate";541;3;"de";"invest";0
"Gemeinden und Gemeindezweckverbände";542;3;"de";"invest";0
"Öffentliche Sozialversicherungen";543;3;"de";"invest";0
"Öffentliche Unternehmen";544;3;"de";"invest";0
"Private Unternehmungen";545;3;"de";"invest";1
"Private Organisationen ohne Erwerbszweck";546;3;"de";"invest";1
"Private Haushalte";547;3;"de";"invest";1
"Ausland";548;3;"de";"invest";1
"";549;3;"de";"invest";1
"Beteiligungen und Grundkapitalien";55;2;"de";"invest";1
"Bund";550;3;"de";"invest";1
"Kantone und Konkordate";551;3;"de";"invest";1
"Gemeinden und Gemeindezweckverbände";552;3;"de";"invest";1
"Öffentliche Sozialversicherungen";553;3;"de";"invest";1
"Öffentliche Unternehmen";554;3;"de";"invest";1
"Private Unternehmen";555;3;"de";"invest";1
"Private Organisationen ohne Erwerbszweck";556;3;"de";"invest";1
"Private Haushalte";557;3;"de";"invest";1
"Ausland";558;3;"de";"invest";1
"Eigene Investitionsbeiträge";56;2;"de";"invest";1
"Bund";560;3;"de";"invest";1
"Kantone und Konkordate";561;3;"de";"invest";1
"Gemeinden und Gemeindezweckverbände";562;3;"de";"invest";1
"Öffentliche Sozialversicherungen";563;3;"de";"invest";1
"Öffentliche Unternehmen";564;3;"de";"invest";1
"Private Unternehmen";565;3;"de";"invest";1
"Private Organisationen ohne Erwerbszweck";566;3;"de";"invest";1
"Private Haushalte";567;3;"de";"invest";1
"Ausland";568;3;"de";"invest";1
"Durchlaufende Investitionsbeiträge";57;2;"de";"invest";1
"Bund";570;3;"de";"invest";1
"Kantone und Konkordate";571;3;"de";"invest";1
"Gemeinden und Gemeindezweckverbände";572;3;"de";"invest";1
"Öffentliche Sozialversicherungen";573;3;"de";"invest";1
"Öffentliche Unternehmen";574;3;"de";"invest";2
"Private Unternehmen";575;3;"de";"invest";2
"Private Organisationen ohne Erwerbszweck";576;3;"de";"invest";2
"Privat Haushalte";577;3;"de";"invest";2
"Ausland";578;3;"de";"invest";2
"Ausserordentliche Investitionsausgaben";58;2;"de";"invest";2
"Ausserordentliche Investitionsausgaben für Sachanlagen";580;3;"de";"invest";2
"Ausserordentliche Investitionsausgaben für immaterielle Anlagen";582;3;"de";"invest";2
"Ausserordentliche Investitionsausgaben für Darlehen";584;3;"de";"invest";2
"Ausserordentliche Investitionsausgaben für Beteiligungen und Grundkapitalien";585;3;"de";"invest";2
"Ausserordentliche Investitionsbeiträge";586;3;"de";"invest";2
"Übrige ausserordentliche Investitionsausgaben";589;3;"de";"invest";2
"Übertrag an Bilanz";59;2;"de";"invest";2
"Passivierungen";590;3;"de";"invest";2
"";599;3;"de";"invest";2
"Investitionseinnahmen";6;1;"de";"invest";2
"Übertragung von Sachanlagen in das Finanzvermögen";60;2;"de";"invest";2
"Übertragung von Grundstücken";600;3;"de";"invest";2
"Übertragung von Strassen und Verkehrswegen";601;3;"de";"invest";2
"Übertragung von Wasserbauten";602;3;"de";"invest";2
"Übertragung übrige Tiefbauten";603;3;"de";"invest";2
"Übertragung Hochbauten";604;3;"de";"invest";2
"Übertragung Waldungen";605;3;"de";"invest";2
"Übertragung Mobilien";606;3;"de";"invest";2
"Übertragung übrige Sachanlagen";609;3;"de";"invest";2
"Rückerstattungen von Investitionsausgaben auf Rechnung Dritter";61;2;"de";"invest";2
"Grundstücke";610;3;"de";"invest";2
"Strassen und Verkehrswege";611;3;"de";"invest";2
"Wasserbau";612;3;"de";"invest";2
"Tiefbau";613;3;"de";"invest";2
"Hochbauten";614;3;"de";"invest";3
"Waldungen";615;3;"de";"invest";3
"Mobilien";616;3;"de";"invest";3
"Verschiedene Sachanlagen";619;3;"de";"invest";3
"Übertragung immaterielle Anlagen ins Finanzvermögen";62;2;"de";"invest";3
"Software";620;3;"de";"invest";3
"Lizenzen, Nutzungsrechte, Markenrechte";621;3;"de";"invest";3
"Übrige immaterielle Anlagen";629;3;"de";"invest";3
"Investitionsbeiträge für eigene Rechnung";63;2;"de";"invest";3
"Bund";630;3;"de";"invest";3
"Kantone und Konkordate";631;3;"de";"invest";3
"Gemeinde und Gemeindezweckverbände";632;3;"de";"invest";3
"Öffentliche Sozialversicherungen";633;3;"de";"invest";3
"Öffentliche Unternehmen";634;3;"de";"invest";3
"Private Unternehmen";635;3;"de";"invest";3
"Private Organisationen ohne Erwerbszweck";636;3;"de";"invest";3
"Private Haushalte";637;3;"de";"invest";3
"Ausland";638;3;"de";"invest";3
"Rückzahlung von Darlehen";64;2;"de";"invest";3
"Bund";640;3;"de";"invest";3
"Kantone und Konkordate";641;3;"de";"invest";3
"Gemeinde und Gemeindezweckverbände";642;3;"de";"invest";3
